,شهر,التاريخ,كود العميل,مدى الالتزام الفرع بالاجراءات الاحترازية,مدي رضاء العميل عن نظافة المكان,مدي رضاء العميل عن معاملة العاملين بالفرع,مدي رضاء العميل عن اسعار المنتجات داخل الفرع,مدي رضاء العميل عن تنوع المنتجات,نوع المكالمة
424,يونيو,2023-06-04,633484,5,5,5,5,5,شكر
425,يونيو,2023-06-04,511511,5,5,5,5,5,شكر
426,يونيو,2023-06-04,2157976,5,5,5,5,5,شكر
427,يونيو,2023-06-04,837488,5,5,5,4,5,شكر
428,يونيو,2023-06-04,618120,5,5,5,5,5,شكر
429,يونيو,2023-06-04,834885,5,5,5,5,5,شكر
430,يونيو,2023-06-04,520418,5,5,5,5,5,شكر
431,يونيو,2023-06-04,508910,5,5,5,5,5,شكر
432,يونيو,2023-06-04,2158738,5,5,5,5,5,شكر
433,يونيو,2023-06-04,612794,5,5,5,5,5,شكر
